year,month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006,12,6.13,10.0,6.0,1.0,
2007,2,8.940000000000001,15.0,8.0,2.0,
2007,3,4.39,14.0,2.0,0.0,
2007,4,1.75,1.0,1.0,1.0,
2007,5,9.61,16.0,8.0,4.0,
2007,6,5.6899999999999995,10.0,6.0,2.0,
2007,7,7.970000000000001,13.0,5.0,4.0,
2007,8,17.3,15.0,9.0,6.0,
2007,9,2.2,6.0,2.0,0.0,
2007,10,3.88,4.0,2.0,2.0,
2007,11,3.9,8.0,3.0,0.0,
2007,12,6.17,11.0,6.0,1.0,
2008,1,5.67,11.0,3.0,2.0,
2008,2,3.5100000000000002,7.0,2.0,2.0,
2008,3,8.28,20.0,5.0,1.0,
2008,4,6.04,13.0,4.0,1.0,
2008,5,6.07,7.0,3.0,2.0,
2008,6,2.1100000000000003,6.0,1.0,0.0,
2008,7,4.58,6.0,2.0,1.0,
2008,8,11.83,9.0,4.0,3.0,
2008,9,1.8399999999999999,6.0,1.0,0.0,
2008,10,5.83,11.0,3.0,2.0,
2008,11,6.16,16.0,4.0,0.0,
2008,12,2.7199999999999998,8.0,0.0,0.0,
2009,1,4.7700000000000005,11.0,4.0,1.0,
2009,2,4.529999999999999,11.0,2.0,1.0,
2009,3,3.69,9.0,2.0,1.0,
2009,4,4.8,9.0,4.0,0.0,
2009,5,5.33,11.0,4.0,2.0,
2009,6,4.470000000000001,8.0,4.0,1.0,
2009,7,4.9,9.0,4.0,1.0,
2009,8,1.04,2.0,1.0,0.0,
